iter	MultiClass
0	2.146873369
1	2.107959502
2	2.071595989
3	2.035551377
4	2.003631004
5	1.974481799
6	1.949613405
7	1.93110091
8	1.907356115
9	1.885895909
10	1.866546663
11	1.849668184
12	1.83509566
13	1.819579201
14	1.806093708
15	1.793945464
16	1.781027969
17	1.76938548
18	1.757898152
19	1.747149343
20	1.736985019
21	1.727884581
22	1.71872741
23	1.710089742
24	1.70186477
25	1.694638796
26	1.687764996
27	1.680781263
28	1.674727209
29	1.669713999
30	1.663329095
31	1.658827068
32	1.653291992
33	1.648105586
34	1.643919553
35	1.640521942
36	1.637184051
37	1.633342104
38	1.629462608
39	1.624984025
40	1.621004047
41	1.617121125
42	1.613601218
43	1.610673346
44	1.6074223
45	1.604764677
46	1.601630027
47	1.598286233
48	1.595786572
49	1.592976316
50	1.58999227
51	1.587132554
52	1.584358415
53	1.581534657
54	1.579374919
55	1.577225404
56	1.574801292
57	1.57304762
58	1.57066258
59	1.568945445
60	1.566892368
61	1.565488935
62	1.564034882
63	1.564020472
64	1.563384409
65	1.562055514
