iter	Passed	Remaining
0	535	267286
1	1097	273321
2	1318	218419
3	1880	233189
4	2397	237316
5	2868	236144
6	3391	238891
7	4029	247792
8	4305	234869
9	4598	225316
10	5229	232480
11	5972	242863
12	6569	246108
13	7093	246257
14	7596	245629
15	8179	247437
16	8810	250313
17	9509	254633
18	10291	260536
19	10867	260814
20	11476	261783
21	12111	263149
22	12780	265054
23	13359	264955
24	14010	266197
25	14771	269298
26	15027	263251
27	15591	262830
28	16164	262541
29	16885	264535
30	17568	265800
31	18171	265763
32	18752	265374
33	19448	266565
34	20357	270461
35	21154	272661
36	21836	273249
37	22490	273433
38	23151	273665
39	23839	274154
40	24460	273835
41	25358	276530
42	26067	277038
43	26750	277227
44	27408	277126
45	28009	276443
46	28808	277665
47	29468	277490
48	30223	278181
49	30919	278277
50	31570	277946
51	32251	277857
52	32928	277717
53	33656	277979
54	34269	277273
55	34906	276757
56	35731	277698
57	36469	277922
58	37261	278512
59	37880	277792
60	38564	277534
61	39405	278380
62	40287	279456
63	40317	274664
64	41035	274622
65	41728	274394
